dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,sat_critical_readng_avg_score,internal_school_id,contact_extension,pct_students_tested,academic_tier_rating
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92.0,399.0,417.0,395.0,399,160939,x234,0.92,3.0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277.0,587.0,659.0,587.0,587,898973,x234,,4.0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90.0,305.0,364.0,312.0,305,220419,,,
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105.0,400.0,417.0,389.0,400,702270,x234,0.92,2.0
13K499,ACORN COMMUNITY HIGH SCHOOL,72.0,384.0,364.0,368.0,384,987014,x234,0.92,1.0
13K509,FREEDOM ACADEMY HIGH SCHOOL,29.0,400.0,390.0,403.0,400,856792,x345,,3.0
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8.0,435.0,383.0,379.0,435,967293,x345,,2.0
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13.0,398.0,391.0,394.0,398,684044,x345,0.92,1.0
13K595,BEDFORD ACADEMY HIGH SCHOOL,89.0,438.0,443.0,431.0,438,805113,,0.85,
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,406,937579,x234,,
13K670,BENJAMIN BANNEKER ACADEMY,185.0,471.0,472.0,448.0,471,578072,x345,,3.0
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20.0,441.0,499.0,413.0,441,760103,x123,,1.0
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102.0,365.0,361.0,359.0,365,257116,x123,0.78,4.0
14K404,ACADEMY FOR YOUNG WRITERS,68.0,387.0,357.0,381.0,387,994723,x345,0.78,
14K449,"BROOKLYN LATIN SCHOOL, THE",72.0,586.0,584.0,570.0,586,384706,x345,0.78,2.0
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41.0,407.0,386.0,396.0,407,806744,x234,,3.0
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144.0,364.0,379.0,371.0,364,445223,x234,0.78,4.0
14K477,SCHOOL FOR LEGAL STUDIES,134.0,413.0,396.0,395.0,413,809381,x345,0.78,1.0
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142.0,398.0,421.0,396.0,398,758599,x345,0.78,4.0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42.0,367.0,373.0,350.0,367,954096,x345,0.78,4.0
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72.0,363.0,385.0,364.0,363,887022,x234,,4.0
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113.0,397.0,410.0,380.0,397,515769,,0.85,2.0
14K586,LYONS COMMUNITY SCHOOL,31.0,371.0,377.0,355.0,371,205730,,0.92,1.0
14K610,AUTOMOTIVE HIGH SCHOOL,94.0,367.0,376.0,350.0,367,168856,x123,0.85,3.0
14K632,FRANCES PERKINS ACADEMY,12.0,382.0,372.0,368.0,382,770235,x345,0.78,3.0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28.0,359.0,335.0,341.0,359,688392,x345,0.92,4.0
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.0,361.0,367.0,383.0,361,718798,x234,0.92,1.0
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76.0,393.0,399.0,387.0,393,724775,x234,,3.0
15K462,SECONDARY SCHOOL FOR LAW,59.0,398.0,411.0,394.0,398,637125,x123,,3.0
15K463,SECONDARY SCHOOL FOR JOURNALISM,58.0,397.0,391.0,381.0,397,702205,x123,,4.0
15K464,PARK SLOPE COLLEGIATE,72.0,379.0,416.0,380.0,379,681987,x345,0.85,1.0
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64.0,405.0,415.0,392.0,405,713236,x123,0.85,4.0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.0,398.0,402.0,385.0,398,716876,,,
15K520,PACIFIC HIGH SCHOOL,9.0,352.0,341.0,300.0,352,619586,x345,0.92,4.0
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28.0,368.0,365.0,368.0,368,660911,x345,0.85,4.0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141.0,426.0,,411.0,426,642190,,,
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8.0,430.0,416.0,425.0,430,203427,x345,0.92,2.0
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20.0,355.0,355.0,358.0,355,773581,x234,,4.0
16K455,BOYS AND GIRLS HIGH SCHOOL,131.0,365.0,370.0,362.0,365,573714,x123,0.78,4.0
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,362.0,372.0,358.0,362,669948,x123,0.78,2.0
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36.0,370.0,372.0,351.0,370,147508,x123,,2.0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,396.0,374.0,369.0,396,641887,x234,0.92,4.0
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,352.0,342.0,351.0,352,770770,x234,0.85,3.0
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7.0,394.0,364.0,334.0,394,974876,x123,0.85,1.0
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,287.0,335.0,291.0,287,753042,x234,0.85,
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46.0,403.0,385.0,388.0,403,963941,x123,,4.0
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35.0,348.0,381.0,359.0,348,626205,x123,0.85,4.0
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38.0,377.0,404.0,372.0,377,534601,x123,0.78,4.0
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73.0,338.0,349.0,340.0,338,613892,x234,0.85,1.0
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61.0,362.0,375.0,368.0,362,513499,,0.78,3.0
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,457.0,462.0,441.0,457,999398,x345,0.85,
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54.0,386.0,391.0,369.0,386,637954,x234,0.78,2.0
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79.0,418.0,441.0,414.0,418,936098,x345,,2.0
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63.0,388.0,382.0,373.0,388,364993,,0.85,2.0
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48.0,385.0,393.0,373.0,385,932462,,0.78,1.0
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16.0,372.0,356.0,335.0,372,641859,x345,0.85,3.0
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165.0,476.0,481.0,479.0,476,761877,,0.78,3.0
17K600,CLARA BARTON HIGH SCHOOL,259.0,425.0,413.0,413.0,425,876998,x345,0.85,
17K625,PAUL ROBESON HIGH SCHOOL,53.0,365.0,363.0,355.0,365,976683,x234,0.92,4.0
18K563,IT TAKES A VILLAGE ACADEMY,56.0,313.0,320.0,330.0,313,418405,x345,0.85,4.0
18K566,BROOKLYN GENERATION SCHOOL,29.0,374.0,377.0,394.0,374,912222,x123,,1.0
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54.0,383.0,358.0,377.0,383,174472,x345,0.78,1.0
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43.0,368.0,378.0,346.0,368,949243,x123,0.85,2.0
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63.0,387.0,377.0,379.0,387,412625,x234,0.85,3.0
18K578,BROOKLYN BRIDGE ACADEMY,17.0,384.0,362.0,351.0,384,440929,,0.92,2.0
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48.0,361.0,360.0,359.0,361,238681,x234,,
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37.0,404.0,393.0,386.0,404,927628,,0.78,3.0
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33.0,393.0,395.0,381.0,393,827492,x345,0.85,3.0
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.0,386.0,380.0,393.0,386,969796,x234,,3.0
18K635,OLYMPUS ACADEMY,7.0,400.0,370.0,370.0,400,314591,,0.85,4.0
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35.0,363.0,381.0,367.0,363,483922,,0.78,
18K642,URBAN ACTION ACADEMY,40.0,376.0,385.0,374.0,376,913691,,0.92,2.0
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12.0,410.0,403.0,378.0,410,102816,x234,0.78,2.0
19K409,EAST NEW YORK FAMILY ACADEMY,54.0,416.0,432.0,394.0,416,839838,x345,0.85,2.0
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37.0,341.0,349.0,333.0,341,608509,x345,0.78,4.0
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47.0,363.0,349.0,342.0,363,653979,x234,0.85,1.0
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61.0,380.0,386.0,383.0,380,785806,,,1.0
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68.0,371.0,365.0,370.0,371,398688,x234,0.85,3.0
19K583,MULTICULTURAL HIGH SCHOOL,29.0,279.0,322.0,286.0,279,122756,x345,0.78,3.0
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182.0,395.0,418.0,380.0,395,132815,x234,0.78,
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60.0,371.0,371.0,354.0,371,965429,x123,0.78,4.0
19K639,BROOKLYN LAB SCHOOL,57.0,360.0,385.0,363.0,360,869608,x345,0.85,1.0
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51.0,376.0,385.0,368.0,376,509280,x123,0.85,1.0
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74.0,370.0,369.0,363.0,370,323270,x345,0.78,4.0
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38.0,383.0,400.0,374.0,383,741399,x123,0.92,4.0
20K445,NEW UTRECHT HIGH SCHOOL,456.0,402.0,471.0,399.0,402,364847,x123,0.85,4.0
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238.0,425.0,474.0,424.0,425,938208,x234,,4.0
20K490,FORT HAMILTON HIGH SCHOOL,694.0,417.0,478.0,411.0,417,379833,x123,0.85,1.0
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385.0,383.0,486.0,375.0,383,620218,x345,,3.0
20K658,FRANKLIN DELANO ROOSEVELT YABC,18.0,338.0,477.0,316.0,338,361605,,0.78,3.0
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54.0,326.0,386.0,314.0,326,795681,x345,0.85,4.0
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54.0,402.0,427.0,408.0,402,422310,x234,0.92,4.0
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39.0,388.0,398.0,378.0,388,723511,x345,0.85,4.0
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475.0,396.0,437.0,393.0,396,846740,x123,0.78,2.0
21K525,EDWARD R. MURROW HIGH SCHOOL,727.0,468.0,496.0,467.0,468,258009,x345,0.85,1.0
21K540,JOHN DEWEY HIGH SCHOOL,448.0,404.0,468.0,390.0,404,475475,x345,0.92,3.0
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.0,384.0,375.0,365.0,384,274893,x234,0.92,2.0
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.0,353.0,370.0,356.0,353,185479,x345,0.78,1.0
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95.0,394.0,414.0,376.0,394,192849,x345,,1.0
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119.0,429.0,449.0,435.0,429,704701,x234,0.85,2.0
21K728,LIBERATION DIPLOMA PLUS,10.0,411.0,369.0,373.0,411,502505,x123,0.85,
22K405,MIDWOOD HIGH SCHOOL,824.0,478.0,519.0,476.0,478,332013,x234,,
22K425,JAMES MADISON HIGH SCHOOL,518.0,436.0,475.0,439.0,436,327087,x234,0.92,1.0
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236.0,383.0,392.0,370.0,383,275480,x345,,
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,524.0,561.0,542.0,524,667336,x123,0.92,2.0
22K555,BROOKLYN COLLEGE ACADEMY,131.0,456.0,456.0,440.0,456,477867,x234,0.78,4.0
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,389.0,409.0,387.0,389,638267,x345,0.85,2.0
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,361.0,371.0,359.0,361,735951,x234,0.85,3.0
23K643,BROOKLYN DEMOCRACY ACADEMY,11.0,349.0,338.0,331.0,349,452120,x123,0.78,2.0
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7.0,311.0,371.0,311.0,311,160203,,0.78,4.0
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,350.0,346.0,332.0,350,719582,x345,0.78,
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,392.0,416.0,388.0,392,296255,x234,0.92,1.0
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,405.0,454.0,421.0,405,654836,,0.85,
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39.0,406.0,413.0,400.0,406,554115,,0.85,1.0
24Q293,CIVIC LEADERSHIP ACADEMY,69.0,404.0,429.0,407.0,404,596521,x345,0.85,4.0
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55.0,317.0,323.0,311.0,317,378878,,0.78,1.0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155.0,545.0,568.0,550.0,545,362876,x345,0.78,
24Q455,NEWTOWN HIGH SCHOOL,320.0,383.0,440.0,380.0,383,344317,x345,0.92,4.0
24Q485,GROVER CLEVELAND HIGH SCHOOL,241.0,395.0,420.0,396.0,395,900889,,0.78,2.0
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58.0,399.0,393.0,385.0,399,902216,x345,,3.0
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69.0,326.0,409.0,329.0,326,855084,x123,0.92,4.0
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138.0,391.0,403.0,380.0,391,501780,x234,0.92,2.0
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80.0,443.0,447.0,440.0,443,702975,x345,,
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155.0,417.0,447.0,406.0,417,683431,x234,,4.0
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396.0,445.0,496.0,423.0,445,777331,,0.92,3.0
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58.0,455.0,498.0,443.0,455,333672,x123,0.78,3.0
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45.0,314.0,417.0,318.0,314,416654,x234,,1.0
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59.0,416.0,463.0,392.0,416,208611,x234,,1.0
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63.0,471.0,489.0,481.0,471,900895,x234,,3.0
25Q425,JOHN BOWNE HIGH SCHOOL,558.0,397.0,451.0,395.0,397,636437,x345,0.78,2.0
25Q460,FLUSHING HIGH SCHOOL,347.0,393.0,441.0,382.0,393,141602,x123,0.85,1.0
25Q467,FLUSHING YABC,9.0,378.0,373.0,344.0,378,223328,x345,0.78,4.0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278.0,621.0,651.0,638.0,621,362526,x123,0.78,1.0
25Q540,QUEENS ACADEMY HIGH SCHOOL,17.0,398.0,382.0,388.0,398,661632,,,2.0
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99.0,431.0,458.0,441.0,431,591892,,0.92,2.0
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7.0,379.0,421.0,377.0,379,847586,,0.78,1.0
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888.0,480.0,545.0,489.0,480,375591,x123,0.78,4.0
26Q430,FRANCIS LEWIS HIGH SCHOOL,934.0,468.0,539.0,467.0,468,148605,x123,,1.0
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334.0,391.0,397.0,384.0,391,152888,x345,0.78,3.0
26Q495,BAYSIDE HIGH SCHOOL,708.0,462.0,523.0,464.0,462,584531,x123,,4.0
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175.0,425.0,434.0,420.0,425,150229,x234,0.85,4.0
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87.0,387.0,385.0,373.0,387,216311,x123,0.85,3.0
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74.0,432.0,419.0,401.0,432,968929,x234,0.78,2.0
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44.0,391.0,401.0,364.0,391,292533,x345,0.85,4.0
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93.0,423.0,426.0,416.0,423,676177,x345,,4.0
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36.0,367.0,379.0,348.0,367,933051,,0.92,
27Q323,SCHOLARS' ACADEMY,89.0,499.0,537.0,496.0,499,291769,x123,0.78,3.0
27Q400,AUGUST MARTIN HIGH SCHOOL,101.0,377.0,371.0,360.0,377,691098,x234,0.78,4.0
27Q410,BEACH CHANNEL HIGH SCHOOL,78.0,384.0,396.0,354.0,384,503694,x234,,1.0
27Q475,RICHMOND HILL HIGH SCHOOL,404.0,382.0,404.0,368.0,382,156250,x345,0.78,4.0
27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0,391,863765,,0.92,1.0
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194.0,429.0,491.0,425.0,429,776444,x123,0.85,3.0
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68.0,420.0,445.0,400.0,420,880835,x234,0.78,4.0
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6.0,403.0,408.0,367.0,403,553915,x345,0.92,4.0
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25.0,430.0,452.0,425.0,430,904223,x234,0.78,2.0
28Q440,FOREST HILLS HIGH SCHOOL,762.0,456.0,497.0,454.0,456,597825,x234,0.78,1.0
28Q470,JAMAICA HIGH SCHOOL,90.0,342.0,,353.0,342,587904,x234,0.92,3.0
28Q505,HILLCREST HIGH SCHOOL,462.0,395.0,413.0,386.0,395,317746,x123,0.85,2.0
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422.0,452.0,478.0,442.0,452,353160,x123,0.85,2.0
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99.0,513.0,523.0,502.0,513,745665,x345,0.85,1.0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121.0,612.0,660.0,596.0,612,936593,,0.92,2.0
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.0,406.0,406.0,384.0,406,216035,x234,,4.0
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68.0,439.0,445.0,432.0,439,597664,x123,0.92,1.0
29Q248,QUEENS PREPARATORY ACADEMY,52.0,360.0,380.0,359.0,360,505363,x123,0.85,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46.0,401.0,397.0,375.0,401,231477,,0.92,1.0
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49.0,402.0,398.0,402.0,402,268657,x123,0.85,
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59.0,436.0,427.0,424.0,436,458826,x123,0.92,2.0
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43.0,370.0,,363.0,370,462173,x345,0.85,3.0
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78.0,400.0,426.0,394.0,400,790855,x345,0.92,
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52.0,385.0,377.0,377.0,385,245490,x123,0.85,
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49.0,379.0,414.0,359.0,379,455709,x123,,3.0
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,393.0,381.0,377.0,393,341277,x123,0.78,
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,410.0,440.0,405.0,410,515061,x123,0.78,4.0
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,414.0,449.0,412.0,414,894217,,0.85,4.0
30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,403.0,420.0,395.0,403,352878,x345,0.92,3.0
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,504.0,496.0,494.0,504,794171,,0.92,2.0
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,407.0,434.0,398.0,407,730551,x345,,4.0
30Q555,NEWCOMERS HIGH SCHOOL,143.0,323.0,475.0,329.0,323,305938,x123,0.78,2.0
30Q575,ACADEMY OF AMERICAN STUDIES,135.0,487.0,492.0,491.0,487,180221,x345,,4.0
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,524.0,568.0,544.0,524,595723,x345,0.78,3.0
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,452.0,451.0,450.0,452,654645,x345,0.92,4.0
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,398.0,412.0,385.0,398,140691,x123,0.92,1.0
31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,472.0,488.0,466.0,472,844244,x123,,1.0
31R440,NEW DORP HIGH SCHOOL,391.0,424.0,437.0,416.0,424,909567,x345,0.92,1.0
31R445,PORT RICHMOND HIGH SCHOOL,271.0,424.0,438.0,417.0,424,145678,x234,,3.0
31R450,CURTIS HIGH SCHOOL,375.0,437.0,435.0,429.0,437,315495,x234,0.92,4.0
31R455,TOTTENVILLE HIGH SCHOOL,807.0,462.0,486.0,470.0,462,308512,x123,0.92,
31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,455.0,474.0,459.0,455,240660,x123,,2.0
31R470,CONCORD HIGH SCHOOL,10.0,466.0,455.0,414.0,466,974386,,,3.0
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,416.0,422.0,397.0,416,730239,x234,0.85,3.0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,635.0,682.0,636.0,635,739097,x123,,2.0
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10.0,405.0,375.0,370.0,405,653176,x345,0.78,1.0
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,380.0,366.0,352.0,380,501650,x345,0.92,
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88.0,384.0,409.0,361.0,384,221431,,0.85,3.0
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,348.0,353.0,334.0,348,954491,x234,0.85,3.0
32K552,ACADEMY OF URBAN PLANNING,67.0,342.0,364.0,354.0,342,695572,x234,0.92,3.0
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,428.0,465.0,422.0,428,587220,,,2.0
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,347.0,358.0,350.0,347,658210,,0.92,2.0
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24.0,359.0,317.0,358.0,359,898918,,0.92,4.0
75Q811,P.S. Q811,32.0,429.0,444.0,433.0,429,467937,x123,0.78,1.0
79Q950,GED PLUS s CITYWIDE,8.0,496.0,400.0,426.0,496,544514,x234,0.92,2.0
79X490,PHOENIX ACADEMY,9.0,367.0,370.0,360.0,367,248647,x234,0.85,
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28.0,359.0,335.0,341.0,359,688392,x345,0.92,4.0
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,406,937579,x234,,
27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0,391,863765,,0.92,1.0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65.0,364.0,378.0,348.0,364,277389,x345,0.92,
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114.0,384.0,394.0,388.0,384,906925,x234,0.92,1.0
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0,407,892839,,0.92,2.0
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,457.0,462.0,441.0,457,999398,x345,0.85,
02M419,LANDMARK HIGH SCHOOL,62.0,390.0,399.0,381.0,390,166135,x123,0.78,2.0
05M304,MOTT HALL HIGH SCHOOL,54.0,413.0,399.0,398.0,413,296405,x123,0.78,2.0
27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0,391,863765,,0.92,1.0
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,406,937579,x234,,
05M304,MOTT HALL HIGH SCHOOL,54.0,413.0,399.0,398.0,413,296405,x123,0.78,2.0
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0,407,892839,,0.92,2.0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65.0,364.0,378.0,348.0,364,277389,x345,0.92,
